Image,actual_shape,predicted_shape,generated_caption,Description
DTR09.tif,fusiform,elliptical to rhomboidal,"Type: Sagittal. Side: Right otolith. Shape: elliptical to rhomboidal, crenate to lobbed dorsal, crenate to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: double peaked, rostrum and antirostrum poorly defined. Posterior region: blunt.","Type: Sagittal. Side: Right otolith. Shape: fusiform, sinuate to crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, markedly curved. Anterior region: peaked, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: round."
DTR32.tif,fusiform,elliptical to oval,"Type: Sagittal. Side: Right otolith. Shape: elliptical to oval, irregular dorsal, and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, markedly curved. Anterior region: angled, rostrum peaked and antirostrum peaked, excisura narrow with poorly developed notch. Posterior region: round to blunt.","Type: Sagittal. Side: Right otolith. Shape: fusiform, crenate dorsal and crenate to serrate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, markedly curved. Anterior region: peaked, rostrum angled and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt to flattened."
DTR41.tif,fusiform,elliptical,"Type: Sagittal. Side: Right otolith. Shape: elliptical, lobed dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, slightly curved. Anterior region: irregular to peaked, rostrum and antirostrum blunt excisura moderately wide with shallow notch. Posterior region: blunt.","Type: Sagittal. Side: Right otolith. Shape: fusiform, crenate dorsal and crenate to serrate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, markedly curved. Anterior region: round to peaked, rostrum angled and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt."
DTR47.tif,fusiform to elliptic,fusiform,"Type: Sagittal. Side: Right otolith. Shape: fusiform, lobed to crenate dorsal, crenate to serrate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, markedly curved. Anterior region: blunt, rostrum blunt and antirostrum poorly developed to blunt, excisura wide and notch poorly developed or shallow wide notch. Posterior region: blunt.","Type: Sagittal. Side: Right otolith. Shape: fusiform to elliptic, crenate to irregular dorsal and crenate to serrate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, markedly curved. Anterior region: round to peaked, rostrum angled and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt."
DTR56.tif,oval to elliptic,fusiform,"Type: Sagittal. Side: Right otolith. Shape: fusiform, crenate dorsal, crenate to serrate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, markedly curved. Anterior region: blunt, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.","Type: Sagittal. Side: Right otolith. Shape: oval to elliptic, crenate to irregular dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, markedly curved. Anterior region: round to peaked, rostrum angled and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: double-peaked to blunt."
DTR69.tif,oval to elliptic,fusiform to elliptical,"Type: Sagittal. Side: Right otolith. Shape: fusiform to elliptical. crenate to  crenate dorsal, and crenate to  serrate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, markedly curved. Anterior region: blunt, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt to irregular.","Type: Sagittal. Side: Right otolith. Shape: oval to elliptic, crenate to irregular dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, markedly curved. Anterior region: round to peaked, rostrum angled and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: double-peaked."
Ectreposbastes imus_Sp2_L (15).tif,discoidal,fusiform to lanceolated,"Type: Sagittal. Side: Left otolith. Shape: fusiform to lanceolated, sinuate to irregular dorsal and sinuate to lobed ventral margins. Sulcus acusticus: pseudo-archaesulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, straight. Anterior region: angled to double-peaked, rostrum and antirostrum blunt, excisura wide with acute, deep notch. Posterior region: blunt to round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (16).tif,discoidal,irregular,"Type: Sagittal. Side: Left otolith. Shape: irregular, irregular margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, strongly curved. Anterior region: irregular, rostrum blunt and antirostrum blunt, excisura narrow with deep acute notch. Posterior region: irregular","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (17).tif,discoidal,irregular,"Type: Sagittal. Side: Left otolith. Shape: irregular, irregular margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, strongly curved. Anterior region: irregular, rostrum blunt and antirostrum blunt, excisura wide with deep acute notch. Posterior region: irregular","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (18).tif,discoidal,fusiform to lanceolated,"Type: Sagittal. Side: Left otolith. Shape: fusiform to lanceolated, sinuate to irregular dorsal and sinuate to lobed ventral margins. Sulcus acusticus: pseudo-archaesulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, straight. Anterior region: angled to double-peaked, rostrum and antirostrum blunt, excisura wide with acute, deep notch. Posterior region: blunt to round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (19).tif,discoidal,fusiform to lanceolated,"Type: Sagittal. Side: Left otolith. Shape: fusiform to lanceolated, sinuate to irregular dorsal and sinuate to lobed ventral margins. Sulcus acusticus: pseudo-archaesulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, straight. Anterior region: angled to double-peaked, rostrum and antirostrum blunt, excisura wide with acute, deep notch. Posterior region: blunt to round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (20).tif,discoidal,irregular,"Type: Sagittal. Side: Left otolith. Shape: irregular, irregular margins, Sulcus acusticus: heterosulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, straight. Anterior region: irregular, rostrum and antirostrum blunt, excisura wide with deep acute notch. Posterior region: irregular","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (21).tif,discoidal,fusiform to lanceolated,"Type: Sagittal. Side: Left otolith. Shape: fusiform to lanceolated, sinuate to irregular dorsal and sinuate to lobed ventral margins. Sulcus acusticus: pseudo-archaesulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, straight. Anterior region: angled to double-peaked, rostrum and antirostrum blunt, excisura wide with acute, deep notch. Posterior region: blunt to round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (22).tif,discoidal,irregular,"Type: Sagittal. Side: Left otolith. Shape: irregular, irregular margins, Sulcus acusticus: heterosulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, straight. Anterior region: irregular, rostrum and antirostrum blunt, excisura wide with deep acute notch. Posterior region: irregular","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (23).tif,discoidal,fusiform,"Type: Sagittal. Side: Left otolith. Shape: fusiform, sinuate to irregular dorsal and sinuate to lobed ventral margins. Sulcus acusticus: pseudo-archaesulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, straight. Anterior region: angled to double-peaked, rostrum and antirostrum blunt, excisura wide with acute, deep notch. Posterior region: blunt to round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (24).tif,discoidal,oblong,"Type: Sagittal. Side: Left otolith. Shape: oblong, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium:  Funnel-like, shorter than cauda. Cauda: tubular, slightly curved. anterior region: round, rostrum and antirostrum poorly defined. Excisura and notch absent. Posterior region: round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (25).tif,discoidal,oblong,"Type: Sagittal. Side: Left otolith. Shape: oblong, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium:  Funnel-like, shorter than cauda. Cauda: tubular, slightly curved. anterior region: round, rostrum and antirostrum poorly defined. Excisura and notch absent. Posterior region: round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (26).tif,discoidal,oblong,"Type: Sagittal. Side: Left otolith. Shape: oblong, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium:  Funnel-like, shorter than cauda. Cauda: tubular, slightly curved. anterior region: round, rostrum and antirostrum poorly defined. Excisura and notch absent. Posterior region: round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (27).tif,discoidal,oblong,"Type: Sagittal. Side: Left otolith. Shape: oblong, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium:  Funnel-like, shorter than cauda. Cauda: tubular, slightly curved. anterior region: round, rostrum and antirostrum poorly defined. Excisura and notch absent. Posterior region: round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (28).tif,discoidal,oblong,"Type: Sagittal. Side: Left otolith. Shape: oblong, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, supramedian. Ostium:  Funnel-like, shorter than cauda. Cauda: tubular, slightly curved. anterior region: round, rostrum and antirostrum poorly defined. Excisura and notch absent. Posterior region: round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (29).tif,discoidal,oblong,"Type: Sagittal. Side: Left otolith. Shape: oblong, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, supramedian. Ostium:  Funnel-like, shorter than cauda. Cauda: tubular, slightly curved. anterior region: round, rostrum and antirostrum poorly defined. Excisura and notch absent. Posterior region: round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (31).tif,discoidal,irregular,"Type: Sagittal. Side: Left otolith. Shape: irregular, sinuate to lobed dorsal and sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, straight. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with acute notch. Posterior region: round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (32).tif,discoidal,irregular,"Type: Sagittal. Side: Left otolith. Shape: irregular, irregular margins, Sulcus acusticus: heterosulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, straight. Anterior region: irregular, rostrum and antirostrum blunt, excisura wide with deep acute notch. Posterior region: irregular","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (33).tif,discoidal,irregular,"Type: Sagittal. Side: Left otolith. Shape: irregular, sinuate to irregular dorsal and sinuate to lobed ventral margins. Sulcus acusticus: heterosulcoid, ostial, supramedian. Ostium: discoidal. Cauda: tubular, straight. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with acute to wide notch. Posterior region: round to blunt.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (36).tif,discoidal,fusiform to lanceolated,"Type: Sagittal. Side: Left otolith. Shape: fusiform to lanceolated, sinuate to irregular dorsal and sinuate to lobed ventral margins. Sulcus acusticus: pseudo-archaesulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, straight. Anterior region: angled to double-peaked, rostrum and antirostrum blunt, excisura wide with acute, deep notch. Posterior region: blunt to round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (39).tif,discoidal,oblong,"Type: Sagittal. Side: Left otolith. Shape: oblong, entire to sinuate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, supramedian. Ostium:  Funnel-like, shorter than cauda. Cauda: tubular, slightly curved. anterior region: round, rostrum and antirostrum poorly defined. Excisura and notch absent. Posterior region: round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (40).tif,discoidal,oblong,"Type: Sagittal. Side: Left otolith. Shape: oblong, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, strongly curved. Anterior region: double-peaked, rostrum blunt and antirostrum pointed, excisura moderately wide with acute, deep notch. Posterior region: round to blunt.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (47).tif,discoidal,oblong,"Type: Sagittal. Side: Left otolith. Shape: oblong, entire to sinuate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, supramedian. Ostium:  Funnel-like, shorter than cauda. Cauda: tubular, slightly curved. anterior region: round, rostrum and antirostrum poorly defined. Excisura and notch absent. Posterior region: round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (50).tif,discoidal,fusiform to lanceolated,"Type: Sagittal. Side: Left otolith. Shape: fusiform to lanceolated, sinuate dorsal and sinuate to lobed ventral margins. Sulcus acusticus: pseudo-archaesulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, straight. Anterior region: angled to double-peaked, rostrum and antirostrum blunt, excisura wide with acute, deep notch. Posterior region: blunt.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (55).tif,discoidal,fusiform to lanceolated,"Type: Sagittal. Side: Left otolith. Shape: fusiform to lanceolated, sinuate dorsal and sinuate to lobed ventral margins. Sulcus acusticus: pseudo-archaesulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, straight. Anterior region: angled to double-peaked, rostrum and antirostrum blunt, excisura wide with acute, deep notch. Posterior region: blunt to round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (56).tif,discoidal,fusiform to lanceolated,"Type: Sagittal. Side: Left otolith. Shape: fusiform to lanceolated, sinuate dorsal and sinuate to lobed ventral margins. Sulcus acusticus: pseudo-archaesulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, straight. Anterior region: angled to double-peaked, rostrum and antirostrum blunt, excisura wide with acute, deep notch. Posterior region: blunt to round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_Sp2_L (61).tif,discoidal,irregular,"Type: Sagittal. Side: Left otolith. Shape: irregular, irregular margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, straight. Anterior region: irregular, rostrum and antirostrum blunt, excisura wide with deep acute notch. Posterior region: irregular","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: pseudo-archaesulcoid, mesial, encircled by thick hill-like swelling. Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with wide notch. Posterior region: round to blunt."
Ectreposbastes imus_dorsal_Sp2_L_dorsal (2).tif,discoidal,fusiform to lanceolated,"Type: Sagittal. Side: Right otolith. Shape: fusiform to lanceolated, sinuate dorsal and sinuate to lobed ventral margins. Sulcus acusticus: pseudo-archaesulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, straight. Anterior region: angled to double-peaked, rostrum and antirostrum blunt, excisura wide with acute, deep notch. Posterior region: blunt to round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: Not visible (outer surface view presented). Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with acute to wide notch. Posterior region: round to blunt."
Ectreposbastes imus_dorsal_Sp2_L_dorsal (20).tif,discoidal,irregular,"Type: Sagittal. Side: Right otolith. Shape: irregular, irregular margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, strongly curved. Anterior region: irregular, rostrum blunt and antirostrum blunt, excisura wide with acute, deep notch. Posterior region: irregular","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: Not visible (outer surface view presented). Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with acute to wide notch. Posterior region: round to blunt."
Ectreposbastes imus_dorsal_Sp2_L_dorsal (3).tif,discoidal,fusiform to lanceolated,"Type: Sagittal. Side: Right otolith. Shape: fusiform to lanceolated, sinuate dorsal and sinuate to lobed ventral margins. Sulcus acusticus: pseudo-archaesulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, straight. Anterior region: angled to double-peaked, rostrum and antirostrum blunt, excisura wide with acute, deep notch. Posterior region: blunt to round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: Not visible (outer surface view presented). Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with acute to wide notch. Posterior region: round to blunt."
Ectreposbastes imus_dorsal_Sp2_L_dorsal (4).tif,discoidal,fusiform to lanceolated,"Type: Sagittal. Side: Right otolith. Shape: fusiform to lanceolated, sinuate dorsal and sinuate to lobed ventral margins. Sulcus acusticus: pseudo-archaesulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, straight. Anterior region: angled to double-peaked, rostrum and antirostrum blunt, excisura wide with acute, deep notch. Posterior region: blunt to round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: Not visible (outer surface view presented). Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with acute to wide notch. Posterior region: round to blunt."
Ectreposbastes imus_dorsal_Sp2_L_dorsal (5).tif,discoidal,fusiform to lanceolated,"Type: Sagittal. Side: Right otolith. Shape: fusiform to lanceolated, sinuate dorsal and sinuate to lobed ventral margins. Sulcus acusticus: pseudo-archaesulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, straight. Anterior region: angled to double-peaked, rostrum and antirostrum blunt, excisura wide with acute, deep notch. Posterior region: blunt to round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: Not visible (outer surface view presented). Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with acute to wide notch. Posterior region: round to blunt."
Ectreposbastes imus_dorsal_Sp2_L_dorsal (6).tif,discoidal,fusiform to lanceolated,"Type: Sagittal. Side: Right otolith. Shape: fusiform to lanceolated, sinuate to irregular dorsal and sinuate to lobed ventral margins. Sulcus acusticus: pseudo-archaesulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, straight. Anterior region: angled to double-peaked, rostrum and antirostrum blunt, excisura wide with acute, deep notch. Posterior region: blunt to round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: Not visible (outer surface view presented). Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with acute to wide notch. Posterior region: round to blunt."
Ectreposbastes imus_dorsal_Sp2_L_dorsal (7).tif,discoidal,fusiform to lanceolated,"Type: Sagittal. Side: Right otolith. Shape: fusiform to lanceolated, sinuate dorsal and sinuate to lobed ventral margins. Sulcus acusticus: pseudo-archaesulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, straight. Anterior region: angled to double-peaked, rostrum and antirostrum blunt, excisura wide with acute, deep notch. Posterior region: blunt to round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: Not visible (outer surface view presented). Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with acute to wide notch. Posterior region: round to blunt."
Ectreposbastes imus_dorsal_Sp2_L_dorsal (8).tif,discoidal,fusiform to lanceolated,"Type: Sagittal. Side: Right otolith. Shape: fusiform to lanceolated, sinuate dorsal and sinuate to lobed ventral margins. Sulcus acusticus: pseudo-archaesulcoid, ostial, median. Ostium: discoidal. Cauda: tubular, straight. Anterior region: angled to double-peaked, rostrum and antirostrum blunt, excisura wide with acute, deep notch. Posterior region: blunt to round.","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: Not visible (outer surface view presented). Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with acute to wide notch. Posterior region: round to blunt."
